resume_id,filename,category,model,semantic_alignment,n_recommendations,avg_score,top5_avg,top5_vs_next5_gap
CHEF/24221960.pdf,24221960.pdf,CHEF,Hybrid (RRF),0.707233,15,0.7347,0.9781,0.235
CHEF/28424982.pdf,28424982.pdf,CHEF,ConFit v2,0.73305,15,0.78,0.7904,0.0132
CHEF/28424982.pdf,28424982.pdf,CHEF,ColBERT,0.724005,15,0.6019,0.772,0.213
CHEF/28424982.pdf,28424982.pdf,CHEF,CrossEncoder,0.739954,15,0.2357,0.245,0.012
CHEF/28424982.pdf,28424982.pdf,CHEF,Hybrid (RRF),0.717777,15,0.8803,0.9724,0.066
CONSTRUCTION/19471144.pdf,19471144.pdf,CONSTRUCTION,ConFit v2,0.797084,15,0.778,0.7855,0.0082
CONSTRUCTION/19471144.pdf,19471144.pdf,CONSTRUCTION,ColBERT,0.794491,15,0.6538,0.7382,0.1017
CONSTRUCTION/19471144.pdf,19471144.pdf,CONSTRUCTION,CrossEncoder,0.797501,15,0.2631,0.2781,0.0199
CONSTRUCTION/19471144.pdf,19471144.pdf,CONSTRUCTION,Hybrid (RRF),0.805997,15,0.7956,0.9666,0.0794
CONSTRUCTION/69764348.pdf,69764348.pdf,CONSTRUCTION,ConFit v2,0.740245,15,0.7982,0.8072,0.0122
CONSTRUCTION/69764348.pdf,69764348.pdf,CONSTRUCTION,ColBERT,0.743871,15,0.7953,0.8453,0.0597
CONSTRUCTION/69764348.pdf,69764348.pdf,CONSTRUCTION,CrossEncoder,0.758813,15,0.2419,0.245,0.0037
CONSTRUCTION/69764348.pdf,69764348.pdf,CONSTRUCTION,Hybrid (RRF),0.7451,15,0.7893,0.9504,0.0758
CONSTRUCTION/99433371.pdf,99433371.pdf,CONSTRUCTION,ConFit v2,0.798759,15,0.8201,0.8308,0.0116
CONSTRUCTION/99433371.pdf,99433371.pdf,CONSTRUCTION,ColBERT,0.800581,15,0.825,0.888,0.0648
CONSTRUCTION/99433371.pdf,99433371.pdf,CONSTRUCTION,CrossEncoder,0.788854,15,0.3508,0.4179,0.0924
CONSTRUCTION/99433371.pdf,99433371.pdf,CONSTRUCTION,Hybrid (RRF),0.799703,15,0.7197,0.9398,0.2002
CONSULTANT/10332998.pdf,10332998.pdf,CONSULTANT,ConFit v2,0.731347,15,0.7547,0.7665,0.0132
CONSULTANT/10332998.pdf,10332998.pdf,CONSULTANT,ColBERT,0.741068,15,0.7873,0.8522,0.0775
CONSULTANT/10332998.pdf,10332998.pdf,CONSULTANT,CrossEncoder,0.699682,15,0.2396,0.2518,0.0163
CONSULTANT/10332998.pdf,10332998.pdf,CONSULTANT,Hybrid (RRF),0.751675,15,0.8191,0.9579,0.0812
CONSULTANT/67406885.pdf,67406885.pdf,CONSULTANT,ConFit v2,0.744591,15,0.8122,0.8225,0.0119
CONSULTANT/67406885.pdf,67406885.pdf,CONSULTANT,ColBERT,0.768879,15,0.7388,0.797,0.0733
CONSULTANT/67406885.pdf,67406885.pdf,CONSULTANT,CrossEncoder,0.764085,15,0.2621,0.2722,0.0126
CONSULTANT/67406885.pdf,67406885.pdf,CONSULTANT,Hybrid (RRF),0.769337,15,0.6592,0.9557,0.3895
CONSULTANT/80527194.pdf,80527194.pdf,CONSULTANT,ConFit v2,0.773381,15,0.7805,0.7903,0.0108
CONSULTANT/80527194.pdf,80527194.pdf,CONSULTANT,ColBERT,0.79113,15,0.7862,0.8268,0.0402
CONSULTANT/80527194.pdf,80527194.pdf,CONSULTANT,CrossEncoder,0.774611,15,0.2627,0.2755,0.0176
CONSULTANT/80527194.pdf,80527194.pdf,CONSULTANT,Hybrid (RRF),0.785934,15,0.7996,0.9468,0.0583
DESIGNER/15425154.pdf,15425154.pdf,DESIGNER,ConFit v2,0.808791,15,0.8502,0.8543,0.005
DESIGNER/15425154.pdf,15425154.pdf,DESIGNER,ColBERT,0.836003,15,0.6567,0.7719,0.1553
DESIGNER/15425154.pdf,15425154.pdf,DESIGNER,CrossEncoder,0.815987,15,0.7637,0.8203,0.0478
DESIGNER/15425154.pdf,15425154.pdf,DESIGNER,Hybrid (RRF),0.832698,15,0.6521,0.9591,0.4421
DESIGNER/26496059.pdf,26496059.pdf,DESIGNER,ConFit v2,0.870916,15,0.8673,0.8776,0.0122
DESIGNER/26496059.pdf,26496059.pdf,DESIGNER,ColBERT,0.882414,15,0.7218,0.8535,0.1311
DESIGNER/26496059.pdf,26496059.pdf,DESIGNER,CrossEncoder,0.849142,15,0.5938,0.7708,0.2258
DESIGNER/26496059.pdf,26496059.pdf,DESIGNER,Hybrid (RRF),0.865371,15,0.7058,0.9625,0.2979
DESIGNER/42384185.pdf,42384185.pdf,DESIGNER,ConFit v2,0.756357,15,0.8223,0.8302,0.0083
DESIGNER/42384185.pdf,42384185.pdf,DESIGNER,ColBERT,0.762286,15,0.6249,0.7532,0.1594
DESIGNER/42384185.pdf,42384185.pdf,DESIGNER,CrossEncoder,0.760603,15,0.6274,0.7869,0.1786
DESIGNER/42384185.pdf,42384185.pdf,DESIGNER,Hybrid (RRF),0.749106,15,0.6412,0.9518,0.4531
DIGITAL-MEDIA/16276121.pdf,16276121.pdf,DIGITAL-MEDIA,ConFit v2,0.752778,15,0.8058,0.8172,0.0131
DIGITAL-MEDIA/16276121.pdf,16276121.pdf,DIGITAL-MEDIA,ColBERT,0.757628,15,0.7809,0.8658,0.1093
DIGITAL-MEDIA/16276121.pdf,16276121.pdf,DIGITAL-MEDIA,CrossEncoder,0.748941,15,0.5405,0.6451,0.1264
DIGITAL-MEDIA/16276121.pdf,16276121.pdf,DIGITAL-MEDIA,Hybrid (RRF),0.764404,15,0.7167,0.9615,0.2399
DIGITAL-MEDIA/19053815.pdf,19053815.pdf,DIGITAL-MEDIA,ConFit v2,0.854952,15,0.7968,0.8071,0.0125
DIGITAL-MEDIA/19053815.pdf,19053815.pdf,DIGITAL-MEDIA,ColBERT,0.857227,15,0.7672,0.838,0.0793
DIGITAL-MEDIA/19053815.pdf,19053815.pdf,DIGITAL-MEDIA,CrossEncoder,0.751546,15,0.3028,0.3384,0.0467
DIGITAL-MEDIA/19053815.pdf,19053815.pdf,DIGITAL-MEDIA,Hybrid (RRF),0.774445,15,0.6896,0.9589,0.3181
DIGITAL-MEDIA/22380187.pdf,22380187.pdf,DIGITAL-MEDIA,ConFit v2,0.757318,15,0.7947,0.8074,0.0168
DIGITAL-MEDIA/22380187.pdf,22380187.pdf,DIGITAL-MEDIA,ColBERT,0.771124,15,0.7749,0.8326,0.0683
DIGITAL-MEDIA/22380187.pdf,22380187.pdf,DIGITAL-MEDIA,CrossEncoder,0.759257,15,0.309,0.3789,0.0924
DIGITAL-MEDIA/22380187.pdf,22380187.pdf,DIGITAL-MEDIA,Hybrid (RRF),0.769036,15,0.7371,0.96,0.1719
ENGINEERING/10030015.pdf,10030015.pdf,ENGINEERING,ConFit v2,0.782198,15,0.8314,0.8383,0.0084
ENGINEERING/10030015.pdf,10030015.pdf,ENGINEERING,ColBERT,0.741734,15,0.7987,0.8549,0.0738
ENGINEERING/10030015.pdf,10030015.pdf,ENGINEERING,CrossEncoder,0.760904,15,0.2865,0.3088,0.0284
ENGINEERING/10030015.pdf,10030015.pdf,ENGINEERING,Hybrid (RRF),0.752483,15,0.6328,0.9314,0.4336
ENGINEERING/10219099.pdf,10219099.pdf,ENGINEERING,ConFit v2,0.837014,15,0.7846,0.7973,0.0178
ENGINEERING/10219099.pdf,10219099.pdf,ENGINEERING,ColBERT,0.805432,15,0.7011,0.7944,0.123
ENGINEERING/10219099.pdf,10219099.pdf,ENGINEERING,CrossEncoder,0.805562,15,0.2493,0.2559,0.0088
ENGINEERING/10219099.pdf,10219099.pdf,ENGINEERING,Hybrid (RRF),0.803844,15,0.7158,0.9501,0.2227
ENGINEERING/10624813.pdf,10624813.pdf,ENGINEERING,ConFit v2,0.756873,15,0.8205,0.829,0.0085
ENGINEERING/10624813.pdf,10624813.pdf,ENGINEERING,ColBERT,0.780052,15,0.8044,0.8666,0.0734
ENGINEERING/10624813.pdf,10624813.pdf,ENGINEERING,CrossEncoder,0.77121,15,0.2689,0.2734,0.0048
ENGINEERING/10624813.pdf,10624813.pdf,ENGINEERING,Hybrid (RRF),0.772502,15,0.8534,0.9661,0.052
ENGINEERING/10712803.pdf,10712803.pdf,ENGINEERING,ConFit v2,0.817814,15,0.8191,0.8266,0.0092
ENGINEERING/10712803.pdf,10712803.pdf,ENGINEERING,ColBERT,0.815951,15,0.5828,0.6657,0.1003
ENGINEERING/10712803.pdf,10712803.pdf,ENGINEERING,CrossEncoder,0.771779,15,0.2902,0.3345,0.0614
ENGINEERING/10712803.pdf,10712803.pdf,ENGINEERING,Hybrid (RRF),0.798748,15,0.7242,0.9676,0.2185
ENGINEERING/10985403.pdf,10985403.pdf,ENGINEERING,ConFit v2,0.78733,15,0.8153,0.8279,0.0132
ENGINEERING/10985403.pdf,10985403.pdf,ENGINEERING,ColBERT,0.805483,15,0.803,0.8535,0.0486
ENGINEERING/10985403.pdf,10985403.pdf,ENGINEERING,CrossEncoder,0.821023,15,0.3141,0.3821,0.0992
ENGINEERING/10985403.pdf,10985403.pdf,ENGINEERING,Hybrid (RRF),0.813129,15,0.7421,0.9515,0.1521
ENGINEERING/11890896.pdf,11890896.pdf,ENGINEERING,ConFit v2,0.667288,15,0.7798,0.7905,0.0137
ENGINEERING/11890896.pdf,11890896.pdf,ENGINEERING,ColBERT,0.697822,15,0.7062,0.7623,0.0674
ENGINEERING/11890896.pdf,11890896.pdf,ENGINEERING,CrossEncoder,0.700796,15,0.2718,0.2985,0.0341
ENGINEERING/11890896.pdf,11890896.pdf,ENGINEERING,Hybrid (RRF),0.756235,15,0.6962,0.9536,0.2975
ENGINEERING/11981094.pdf,11981094.pdf,ENGINEERING,ConFit v2,0.75696,15,0.7891,0.801,0.0138
ENGINEERING/11981094.pdf,11981094.pdf,ENGINEERING,ColBERT,0.780094,15,0.7326,0.8057,0.0918
ENGINEERING/11981094.pdf,11981094.pdf,ENGINEERING,CrossEncoder,0.770547,15,0.2668,0.2807,0.0182
ENGINEERING/11981094.pdf,11981094.pdf,ENGINEERING,Hybrid (RRF),0.779256,15,0.7884,0.9573,0.0799
ENGINEERING/12011623.pdf,12011623.pdf,ENGINEERING,ConFit v2,0.713349,15,0.7903,0.8018,0.0151
ENGINEERING/12011623.pdf,12011623.pdf,ENGINEERING,ColBERT,0.760836,15,0.8349,0.8666,0.0296
ENGINEERING/12011623.pdf,12011623.pdf,ENGINEERING,CrossEncoder,0.789733,15,0.2965,0.3506,0.079
ENGINEERING/12011623.pdf,12011623.pdf,ENGINEERING,Hybrid (RRF),0.743142,15,0.712,0.9726,0.2952
ENGINEERING/12022566.pdf,12022566.pdf,ENGINEERING,ConFit v2,0.793705,15,0.8123,0.8188,0.0074
ENGINEERING/12022566.pdf,12022566.pdf,ENGINEERING,ColBERT,0.769597,15,0.8126,0.8714,0.0715
ENGINEERING/12022566.pdf,12022566.pdf,ENGINEERING,CrossEncoder,0.783094,15,0.3131,0.3574,0.0584
ENGINEERING/12022566.pdf,12022566.pdf,ENGINEERING,Hybrid (RRF),0.796902,15,0.663,0.9067,0.352
ENGINEERING/12472574.pdf,12472574.pdf,ENGINEERING,ConFit v2,0.76188,15,0.8423,0.8487,0.0079
ENGINEERING/12472574.pdf,12472574.pdf,ENGINEERING,ColBERT,0.769414,15,0.7344,0.8094,0.1001
ENGINEERING/12472574.pdf,12472574.pdf,ENGINEERING,CrossEncoder,0.757574,15,0.3755,0.4492,0.084
ENGINEERING/12472574.pdf,12472574.pdf,ENGINEERING,Hybrid (RRF),0.78186,15,0.7528,0.9885,0.2177
ENGINEERING/12488356.pdf,12488356.pdf,ENGINEERING,ConFit v2,0.834536,15,0.8276,0.8385,0.0132
ENGINEERING/12488356.pdf,12488356.pdf,ENGINEERING,ColBERT,0.833603,15,0.7323,0.7863,0.0671
ENGINEERING/12488356.pdf,12488356.pdf,ENGINEERING,CrossEncoder,0.779607,15,0.3408,0.4211,0.1049
