resume_id,filename,category,model_a,model_b,rbo,jaccard_at_10,overlap_at_10
AUTOMOBILE/11797122.pdf,11797122.pdf,AUTOMOBILE,ConFit v2,CrossEncoder,0.2133,0.3333,5
AUTOMOBILE/11797122.pdf,11797122.pdf,AUTOMOBILE,ColBERT,CrossEncoder,0.1673,0.1765,3
AUTOMOBILE/47487091.pdf,47487091.pdf,AUTOMOBILE,ConFit v2,ColBERT,0.3271,0.25,4
AUTOMOBILE/47487091.pdf,47487091.pdf,AUTOMOBILE,ConFit v2,CrossEncoder,0.2928,0.1765,3
AUTOMOBILE/47487091.pdf,47487091.pdf,AUTOMOBILE,ColBERT,CrossEncoder,0.6718,0.3333,5
AVIATION/11959428.pdf,11959428.pdf,AVIATION,ConFit v2,ColBERT,0.1289,0.1765,3
AVIATION/11959428.pdf,11959428.pdf,AVIATION,ConFit v2,CrossEncoder,0.1987,0.1765,3
AVIATION/11959428.pdf,11959428.pdf,AVIATION,ColBERT,CrossEncoder,0.0754,0.0526,1
AVIATION/16279537.pdf,16279537.pdf,AVIATION,ConFit v2,ColBERT,0.4589,0.25,4
AVIATION/16279537.pdf,16279537.pdf,AVIATION,ConFit v2,CrossEncoder,0.1211,0.1111,2
AVIATION/16279537.pdf,16279537.pdf,AVIATION,ColBERT,CrossEncoder,0.2203,0.25,4
AVIATION/16833515.pdf,16833515.pdf,AVIATION,ConFit v2,ColBERT,0.5568,0.25,4
AVIATION/16833515.pdf,16833515.pdf,AVIATION,ConFit v2,CrossEncoder,0.4044,0.25,4
AVIATION/16833515.pdf,16833515.pdf,AVIATION,ColBERT,CrossEncoder,0.6574,0.8182,9
BANKING/11262933.pdf,11262933.pdf,BANKING,ConFit v2,ColBERT,0.4447,0.6667,8
BANKING/11262933.pdf,11262933.pdf,BANKING,ConFit v2,CrossEncoder,0.0668,0.0526,1
BANKING/11262933.pdf,11262933.pdf,BANKING,ColBERT,CrossEncoder,0.0911,0.1111,2
BANKING/28989677.pdf,28989677.pdf,BANKING,ConFit v2,ColBERT,0.1812,0.25,4
BANKING/28989677.pdf,28989677.pdf,BANKING,ConFit v2,CrossEncoder,0.1784,0.25,4
BANKING/28989677.pdf,28989677.pdf,BANKING,ColBERT,CrossEncoder,0.712,0.5385,7
BANKING/33872500.pdf,33872500.pdf,BANKING,ConFit v2,ColBERT,0.3597,0.1111,2
BANKING/33872500.pdf,33872500.pdf,BANKING,ConFit v2,CrossEncoder,0.0721,0.0526,1
BANKING/33872500.pdf,33872500.pdf,BANKING,ColBERT,CrossEncoder,0.1465,0.1111,2
